LSOA11CD,Total_Airbnb_beds,Total_Airbnb_bedrooms,avg_Airbnb_PPB_day
E01000560,86,30,57.66666667
E01000561,81,50,77.48
E01000562,4,2,41.5
E01000563,5,3,36.66666667
E01000564,6,6,38.33333333
E01000565,3,2,49
E01000566,7,6,39.66666667
E01000567,2,2,39.5
E01000568,3,3,35.66666667
E01000569,2,2,29
E01000570,1,1,59
E01000571,17,10,63.9
E01000572,1,1,48
E01000573,8,6,55
E01000574,5,5,33
E01000575,6,6,42.5
E01000576,2,2,34.5
E01000577,13,10,37.8
E01000578,30,25,73.64
E01000579,75,65,64.07692308
E01000580,146,119,74.37815126
E01000581,70,65,77.33846154
E01000582,64,63,70.19047619
E01000583,102,72,89.25
E01000584,105,92,59.93478261
E01000585,63,54,57.09259259
E01000586,52,46,71.2826087
E01000587,3,2,47.5
E01000588,35,26,56.11538462
E01000589,0,0,NA
E01000590,3,2,47.5
E01000591,3,2,57.5
E01000592,2,2,69.5
E01000593,4,2,41
E01000594,3,3,39
E01000595,13,12,57
E01000596,1,1,40
E01000599,3,5,36.4
E01000600,53,43,50.58139535
E01000601,7,3,55.66666667
E01000602,3,3,30
E01000603,3,1,18
E01000604,1,1,30
E01000605,2,2,47.5
E01000606,5,4,44.25
E01000607,6,6,29.16666667
E01000608,16,11,51.36363636
E01000609,3,3,35
E01000610,10,8,49.375
E01000611,1,1,47
E01000612,5,5,44.2
E01000613,16,15,32.06666667
E01000615,18,15,62.06666667
E01000616,31,29,40.86206897
E01000617,9,6,63.33333333
E01000618,1,1,45
E01000619,1,2,34.5
E01000620,5,4,46.25
E01000621,1,0,Inf
E01000622,5,2,91.5
E01000623,7,5,66.2
E01000624,5,2,90
E01000625,2,1,110
E01000626,5,4,38.25
E01000627,3,2,30.5
E01000628,19,15,33.66666667
E01000629,2,1,68
E01000630,4,3,75.33333333
E01000631,6,5,36
E01000632,2,2,24.5
E01000633,5,3,33.33333333
E01000634,12,8,122.75
E01000635,6,5,84.4
E01000636,6,7,63.71428571
E01000637,26,18,66.33333333
E01000638,27,19,57.31578947
E01000639,30,25,60.68
E01000640,13,12,62.58333333
E01000641,28,25,43.04
E01000642,64,46,53.73913043
E01000643,30,29,48.34482759
E01000644,27,20,57.3
E01000645,0,0,NA
E01000646,2,2,31.5
E01000647,0,0,NA
E01000648,5,4,36.25
E01000649,1,1,75
E01000650,2,2,37.5
E01000651,5,4,25
E01000652,4,4,38
E01000653,9,10,47.9
E01000654,2,1,48
E01000655,1,1,25
E01000656,3,3,13.33333333
E01000657,0,0,NA
E01000658,5,5,20
E01000659,2,2,30
E01000661,3,3,51.66666667
E01000662,6,5,31
E01000663,2,1,29
E01000664,1,1,50
E01000665,4,4,44.5
E01000666,1,1,75
E01000667,0,0,NA
E01000668,8,5,36.4
E01000669,1,1,30
E01000670,9,7,33.42857143
E01000671,3,2,57.5
E01000672,7,5,56
E01000673,4,3,48.33333333
E01000674,7,5,33.8
E01000675,17,14,60.57142857
E01000676,7,6,56.83333333
E01000677,6,7,40.85714286
E01000678,10,6,63.33333333
E01000679,5,6,38.33333333
E01000680,5,3,73.33333333
E01000681,0,0,NA
E01000682,0,0,NA
E01000683,0,0,NA
E01000684,3,3,49.66666667
E01000685,5,2,94
E01000686,3,2,30
E01000687,0,0,NA
E01000688,0,0,NA
E01000689,3,3,25
E01000690,0,0,NA
E01000691,5,4,32.75
E01000692,3,3,25
E01000693,3,3,45
E01000694,2,2,21.5
E01000695,0,0,NA
E01000696,3,3,66.66666667
E01000697,3,2,55
E01000698,7,5,45.4
E01000699,7,10,40.7
E01000700,3,3,27
E01000701,8,3,45.33333333
E01000702,1,1,40
E01000703,6,6,40.5
E01000704,4,3,51.66666667
E01000705,16,9,32
E01000706,1,1,37
E01000707,3,1,200
E01000708,10,9,35.22222222
E01000709,7,6,47
E01000710,9,7,51.57142857
E01000711,4,1,205
E01000712,13,8,32.375
E01000713,2,2,67.5
E01000714,28,8,148.625
E01000715,5,6,46.66666667
E01000716,6,4,45
E01000717,2,2,36.5
E01000718,1,1,85
E01000719,39,3,571
E01000720,1,1,35
E01000721,5,3,39.33333333
E01000722,14,5,96.6
E01000723,0,0,NA
E01000724,0,0,NA
E01000725,6,5,33.6
E01000726,2,2,39.5
E01000727,0,0,NA
E01000728,0,1,500
E01000729,0,0,NA
E01000730,2,2,27.5
E01000731,0,0,NA
E01000732,3,3,26.66666667
E01000733,1,1,25
E01000734,0,0,NA
E01000735,0,0,NA
E01000736,2,1,20
E01000737,1,1,21
E01000738,1,1,35
E01000739,2,2,25.5
E01000740,23,17,40
E01000741,27,23,40.82608696
E01000742,22,18,52.72222222
E01000743,16,14,53
E01000744,8,6,55.83333333
E01000745,17,14,34.64285714
E01000746,27,27,44.59259259
E01000747,3,2,42.5
E01000748,11,9,54.11111111
E01000749,1,1,45
